130.35667,1,176,144,54590,12,27,1537,0,1564,64483,825054,0,889537,1,56000,12.00,176,144,22508,0.612
130.35667,1,176,144,54590,12,27,1537,0,1564,64483,825054,0,889537,3,56000,12.00,176,144,36288,1.224
130.35667,1,176,144,54590,12,27,1537,0,1564,64483,825054,0,889537,4,56000,12.00,176,144,48748,0.308
130.35667,1,176,144,54590,12,27,1537,0,1564,64483,825054,0,889537,2,56000,12.00,176,144,61376,1.3
204.938,2,480,360,297373,16,111,3169,0,3280,1451634,6166260,0,7617894,1,56000,12.00,176,144,76084,1.004
204.938,2,480,360,297373,16,111,3169,0,3280,1451634,6166260,0,7617894,3,56000,12.00,176,144,82764,1.428
204.938,2,480,360,297373,16,111,3169,0,3280,1451634,6166260,0,7617894,4,56000,12.00,176,144,84300,0.656
204.938,2,480,360,297373,16,111,3169,0,3280,1451634,6166260,0,7617894,2,56000,12.00,176,144,90560,1.264
239.14166,2,480,360,500198,25,110,5868,0,5978,1406751,13545526,0,14952277,1,56000,12.00,176,144,94224,1.392
239.14166,2,480,360,500198,25,110,5868,0,5978,1406751,13545526,0,14952277,3,56000,12.00,176,144,99220,1.92
239.14166,2,480,360,500198,25,110,5868,0,5978,1406751,13545526,0,14952277,4,56000,12.00,176,144,107440,0.964
239.14166,2,480,360,500198,25,110,5868,0,5978,1406751,13545526,0,14952277,2,56000,12.00,176,144,116572,2.024
290.01666,1,176,144,52783,12,61,3417,0,3478,119325,1794184,0,1913509,1,56000,12.00,176,144,123228,0.588
290.01666,1,176,144,52783,12,61,3417,0,3478,119325,1794184,0,1913509,3,56000,12.00,176,144,130204,1.12
290.01666,1,176,144,52783,12,61,3417,0,3478,119325,1794184,0,1913509,4,56000,12.00,176,144,135672,0.324
290.01666,1,176,144,52783,12,61,3417,0,3478,119325,1794184,0,1913509,2,56000,12.00,176,144,136288,1.328
52.68,2,480,360,372001,25,53,1265,0,1318,870136,1579497,0,2449633,1,56000,12.00,176,144,139940,1.572
52.68,2,480,360,372001,25,53,1265,0,1318,870136,1579497,0,2449633,3,56000,12.00,176,144,140080,2.048
52.68,2,480,360,372001,25,53,1265,0,1318,870136,1579497,0,2449633,4,56000,12.00,176,144,140080,0.988
52.68,2,480,360,372001,25,53,1265,0,1318,870136,1579497,0,2449633,2,56000,12.00,176,144,155028,1.976
59.883,3,1280,720,994960,30.38983,13,1780,0,1793,481774,6965881,0,7447655,1,56000,12.00,176,144,155028,3.264
59.883,3,1280,720,994960,30.38983,13,1780,0,1793,481774,6965881,0,7447655,3,56000,12.00,176,144,155028,3.496
59.883,3,1280,720,994960,30.38983,13,1780,0,1793,481774,6965881,0,7447655,4,56000,12.00,176,144,158436,2.916
59.883,3,1280,720,994960,30.38983,13,1780,0,1793,481774,6965881,0,7447655,2,56000,12.00,176,144,162520,4
177.33333,1,176,144,53707,12,37,2091,0,2128,100969,1089548,0,1190517,1,56000,12.00,176,144,162996,0.604
177.33333,1,176,144,53707,12,37,2091,0,2128,100969,1089548,0,1190517,3,56000,12.00,176,144,163024,0.96
